Chihuahua,Ciudad Juárez,2017-11-05T20:07:28-07:00,0001,ASESINATO,http://www.lapoliciaca.com/nota-roja/asesinan-a-jovencita-y-abandonan-su-cadaver-en-un-campo-de-futbol/
Puebla,Zacatlán,2017-11-05T18:53:38-07:00,0002,,http://www.lapoliciaca.com/nota-roja/nino-de-2-anos-reportado-raptado-fue-hallado-ahogado-en-arroyo-cerca-de-su-casa/
Oaxaca,San Juan Cacahuatepec,2017-11-04T10:39:15-07:00,0003,ASESINATO:DISPAROS,http://www.lapoliciaca.com/nota-roja/asesinan-a-una-familia-y-su-bebe/
Nayarit,Acaponeta,2017-11-04T10:05:16-07:00,0004,DISPAROS,http://www.lapoliciaca.com/nota-roja/dispara-contra-su-hijo-pero-termino-matando-a-su-esposa/
Veracruz,Las Choapas,2017-11-04T07:06:33-07:00,0006,SECUESTRO:DISPAROS,http://www.lapoliciaca.com/nota-roja/desalmados-asesinan-a-abuelita-y-su-nieta-de-12-anos-pretendian-raptarlas-y-violarlas/
Chihuahua,Ciudad Juárez,2017-11-04T07:06:18-07:00,0007,ASESINATO,http://www.lapoliciaca.com/nota-roja/le-gustaba-subir-frases-de-narcocorridos-a-su-facebook-fue-hallada-ejecutada/
Aguascalientes,Aguascalientes,2017-11-04T06:35:51-07:00,0008,,http://www.lapoliciaca.com/nota-roja/amenaza-con-matar-a-su-hija-de-2-anos-despues-de-pelea-marital-video/
Yucatán,Buctzotz,2017-11-03T22:28:28-07:00,0009,,http://www.lapoliciaca.com/nota-roja/casi-mueren-por-culpa-de-fantasmas-de-una-mujer-y-un-nino/
Durango,Canatlán,2017-11-03T21:37:19-07:00,0010,,http://www.lapoliciaca.com/nota-roja/mata-a-su-hijo-de-11-anos-y-luego-se-suicida/
Guanajuato,Celaya,2017-11-03T20:09:41-07:00,0011,,http://www.lapoliciaca.com/nota-roja/se-va-de-puebla-por-desamor-y-unos-perros-lo-matan-en-guanajuato/
Veracruz,Coatzacoalcos,2017-11-03T07:19:13-07:00,0012,,http://www.lapoliciaca.com/nota-roja/dracula-y-calaveras-asaltan-a-comensales-de-taqueria/
Sonora,Hermosillo,2017-11-03T07:08:49-07:00,0013,,http://www.lapoliciaca.com/nota-roja/ladron-roba-caballo-y-ambos-terminan-muertos/
Puebla,Puebla,2017-11-03T06:18:23-07:00,0014,ASESINATO:ASALTO,http://www.lapoliciaca.com/nota-roja/lider-huachicolero-se-iba-a-cambiar-el-rostro-y-huellas-dactilares-cuando-lo-ejecutaron/
Nuevo León,Monterrey,2017-11-02T10:06:26-07:00,0015,ASESINATO,http://www.lapoliciaca.com/nota-roja/murio-asesinado-a-manos-del-amante-de-su-mujer/
Guerrero,Acapulco,2017-11-01T20:21:00-07:00,0016,,http://www.lapoliciaca.com/nota-roja/fueron-al-mar-a-depositar-una-ofrenda-florar-por-el-dia-de-muertos-y-ahi-se-suicidaron/
Estado de México,Naucalpan,2017-11-01T19:35:46-07:00,0017,ASESINATO,http://www.lapoliciaca.com/nota-roja/angelita-fue-hallada-asesinada-hace-siete-meses-y-nadie-reclamo-su-cuerpo/
Jalisco,Guadalajara,2017-11-01T18:53:35-07:00,0018,ASESINATO,http://www.lapoliciaca.com/nota-roja/su-esposo-la-golpeaba-y-lo-denuncio-aparecio-desollada/
Jalisco,Guadalajara,2017-11-01T18:49:09-07:00,0019,ASALTO:DISPAROS,http://www.lapoliciaca.com/nota-roja/se-defendio-al-ser-asaltado-y-mato-al-ladron-video/
Guanajuato,Celaya,2017-11-01T18:15:00-07:00,0020,,http://www.lapoliciaca.com/nota-roja/muje-asesino-y-enterro-a-su-madre-en-el-patio-de-su-vivienda/
Puebla,Tepeaca,2017-11-01T17:11:13-07:00,0021,SECUESTRO,http://www.lapoliciaca.com/nota-roja/por-amor-subdirectora-de-penal-planeo-secuestro-del-director-del-reclusorio-y-fuga-de-reos/
